title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Evil Behind You,2006,Missing,Missing,Missing,Missing,Missing,Missing
Senior Project,2015,Missing,Missing,insufficient sample,8.0,Missing,Missing
Ã€ Coup SÃ»r,2014,insufficient sample,2.0,0.5,12.0,Missing,Missing
Les Gazelles,2014,insufficient sample,8.0,insufficient sample,10.0,Missing,Missing
Mariage chez les Bodin's,2008,Missing,Missing,Missing,Missing,Missing,Missing
AmÃ©lie au pays des Bodin's,2010,Missing,Missing,Missing,Missing,Missing,Missing
Obsessed,2002,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
The Emperor's New Clothes,2015,Missing,Missing,Missing,Missing,Missing,Missing
Ð‘ÐµÐ»Ñ‹Ð¹ Ñ‚Ð¸Ð³Ñ€,2012,Missing,Missing,insufficient sample,7.0,Missing,Missing
Guardian,2001,insufficient sample,5.0,insufficient sample,4.0,Missing,Missing
Mom's Got a Date With a Vampire,2000,Missing,Missing,Missing,Missing,Missing,Missing
Love Lies Bleeding,2008,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing
Kaaka Muttai,2015,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing
B.A. Pass,2013,Missing,Missing,Missing,Missing,Missing,Missing
ë§�ì£½ê±°ë¦¬ ìž”í˜¹ì‚¬,2004,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing
Gabbar Is Back,2015,insufficient sample,4.0,insufficient sample,5.0,Missing,Missing
O Menino e o Mundo,2014,Missing,Missing,Missing,Missing,Missing,Missing
Little Boy,2015,Missing,Missing,0.45161290322580644,31.0,Missing,Missing
Do You Believe?,2015,insufficient sample,7.0,0.45454545454545453,11.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Deadly Adoption,2015,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
Rhythm is it!,2004,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing
Self/less,2015,Missing,Missing,Missing,Missing,Missing,Missing
Mythica: A Quest for Heroes,2014,insufficient sample,7.0,0.2727272727272727,11.0,Missing,Missing
The King's Daughter,2017,insufficient sample,5.0,Missing,Missing,Missing,Missing
Behind the Camera: The Unauthorized Story of 'Mork & Mindy',2005,insufficient sample,1.0,insufficient sample,9.0,Missing,Missing
Criminal,2016,Missing,Missing,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Last Witch Hunter,2015,0.25,24.0,0.5625,16.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Krampus,2015,Missing,Missing,insufficient sample,8.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Suicide Squad,2016,0.2777777777777778,18.0,Missing,Missing,Missing,Missing
Aurora,2016,Missing,Missing,insufficient sample,1.0,Missing,Missing
Noodle,2007,Missing,Missing,insufficient sample,4.0,Missing,Missing
Ardennes Fury,2014,insufficient sample,2.0,Missing,Missing,Missing,Missing
Tajemnica Westerplatte,2013,Missing,Missing,insufficient sample,5.0,Missing,Missing
Dictado,2012,insufficient sample,1.0,insufficient sample,2.0,Missing,Missing
